"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 31 20:34:02 IST 2022","Tue May 31 20:34:02 IST 2022","90","","ANZ Loan Calculator Page: Verify correct borrow amount is shown","","ANZ Loan Calculator Page: Verify correct borrow amount is shown","Then I can see that total amount I can borrow is $0","Then I can see that total amount I can borrow is $0",""
"passed","Tue May 31 20:34:02 IST 2022","Tue May 31 20:34:04 IST 2022","2651","","ANZ Loan Calculator Page: Verify error message incase of entering living expense as $1 and all other value as 0","","ANZ Loan Calculator Page: Verify error message incase of entering living expense as $1 and all other value as 0","Given I am on the ANZ Mortage Calculator page","Given I am on the ANZ Mortage Calculator page",""
"passed","Tue May 31 20:33:44 IST 2022","Tue May 31 20:33:45 IST 2022","1287","","ANZ Loan Calculator Page: Verify correct borrow amount is shown","","ANZ Loan Calculator Page: Verify correct borrow amount is shown","When I enter the annual amount as 80000","When I enter the annual amount as 80000",""
"passed","Tue May 31 20:33:46 IST 2022","Tue May 31 20:33:48 IST 2022","1203","","ANZ Loan Calculator Page: Verify correct borrow amount is shown","","ANZ Loan Calculator Page: Verify correct borrow amount is shown","Then I enter the living expense as 500","Then I enter the living expense as 500",""
"passed","Tue May 31 20:33:48 IST 2022","Tue May 31 20:33:49 IST 2022","1135","","ANZ Loan Calculator Page: Verify correct borrow amount is shown","","ANZ Loan Calculator Page: Verify correct borrow amount is shown","Then I enter the current home loan repayment amount as 0","Then I enter the current home loan repayment amount as 0",""
"passed","Tue May 31 20:33:34 IST 2022","Tue May 31 20:33:44 IST 2022","9933","","ANZ Loan Calculator Page: Verify correct borrow amount is shown","","ANZ Loan Calculator Page: Verify correct borrow amount is shown","Given I am on the ANZ Mortage Calculator page","Given I am on the ANZ Mortage Calculator page",""
"passed","Tue May 31 20:33:49 IST 2022","Tue May 31 20:33:50 IST 2022","1189","","ANZ Loan Calculator Page: Verify correct borrow amount is shown","","ANZ Loan Calculator Page: Verify correct borrow amount is shown","Then I enter other loans amount as 100","Then I enter other loans amount as 100",""
"passed","Tue May 31 20:33:51 IST 2022","Tue May 31 20:33:56 IST 2022","5118","","ANZ Loan Calculator Page: Verify correct borrow amount is shown","","ANZ Loan Calculator Page: Verify correct borrow amount is shown","When I click on Work out how much I could borrow button","When I click on Work out how much I could borrow button",""
"passed","Tue May 31 20:34:04 IST 2022","Tue May 31 20:34:04 IST 2022","100","","ANZ Loan Calculator Page: Verify error message incase of entering living expense as $1 and all other value as 0","","ANZ Loan Calculator Page: Verify error message incase of entering living expense as $1 and all other value as 0","Then I verify button calculator is visible","Then I verify button calculator is visible",""
"passed","Tue May 31 20:33:50 IST 2022","Tue May 31 20:33:51 IST 2022","1183","","ANZ Loan Calculator Page: Verify correct borrow amount is shown","","ANZ Loan Calculator Page: Verify correct borrow amount is shown","Then I total credit limit as 10000","Then I total credit limit as 10000",""
"passed","Tue May 31 20:33:56 IST 2022","Tue May 31 20:34:02 IST 2022","5255","","ANZ Loan Calculator Page: Verify correct borrow amount is shown","","ANZ Loan Calculator Page: Verify correct borrow amount is shown","When I click on start over button","When I click on start over button",""
"passed","Tue May 31 20:34:11 IST 2022","Tue May 31 20:34:11 IST 2022","1","","ANZ Loan Calculator Page: Verify error message incase of entering living expense as $1 and all other value as 0","","ANZ Loan Calculator Page: Verify error message incase of entering living expense as $1 and all other value as 0","","",""
"passed","Tue May 31 20:34:04 IST 2022","Tue May 31 20:34:06 IST 2022","1268","","ANZ Loan Calculator Page: Verify error message incase of entering living expense as $1 and all other value as 0","","ANZ Loan Calculator Page: Verify error message incase of entering living expense as $1 and all other value as 0","Then I enter the living expense as 1","Then I enter the living expense as 1",""
"passed","Tue May 31 20:33:45 IST 2022","Tue May 31 20:33:46 IST 2022","1405","","ANZ Loan Calculator Page: Verify correct borrow amount is shown","","ANZ Loan Calculator Page: Verify correct borrow amount is shown","Then I enter the other income amount as 10000","Then I enter the other income amount as 10000",""
"passed","Tue May 31 20:34:11 IST 2022","Tue May 31 20:34:11 IST 2022","90","","ANZ Loan Calculator Page: Verify error message incase of entering living expense as $1 and all other value as 0","","ANZ Loan Calculator Page: Verify error message incase of entering living expense as $1 and all other value as 0","Then I verify if error message Based on the details you've entered, we're unable to give you an estimate of your borrowing power with this calculator. For questions, call us on 1800 035 500. is displayed","Then I verify if error message Based on the details you've entered, we're unable to give you an estimate of your borrowing power with this calculator. For questions, call us on 1800 035 500. is displayed",""
"passed","Tue May 31 20:33:56 IST 2022","Tue May 31 20:33:56 IST 2022","94","","ANZ Loan Calculator Page: Verify correct borrow amount is shown","","ANZ Loan Calculator Page: Verify correct borrow amount is shown","Then I can see that total amount I can borrow is $528,000","Then I can see that total amount I can borrow is $528,000",""
"passed","Tue May 31 20:34:06 IST 2022","Tue May 31 20:34:11 IST 2022","5222","","ANZ Loan Calculator Page: Verify error message incase of entering living expense as $1 and all other value as 0","","ANZ Loan Calculator Page: Verify error message incase of entering living expense as $1 and all other value as 0","When I click on Work out how much I could borrow button","When I click on Work out how much I could borrow button",""
"passed","Tue May 31 20:33:44 IST 2022","Tue May 31 20:33:44 IST 2022","114","","ANZ Loan Calculator Page: Verify correct borrow amount is shown","","ANZ Loan Calculator Page: Verify correct borrow amount is shown","Then I verify button calculator is visible","Then I verify button calculator is visible",""
"passed","Tue May 31 20:34:02 IST 2022","Tue May 31 20:34:02 IST 2022","1","","ANZ Loan Calculator Page: Verify correct borrow amount is shown","","ANZ Loan Calculator Page: Verify correct borrow amount is shown","","",""
